Timestamp (ASCII);Timestamp (s);Timecounter (s);IMU X Acc (G);IMU Y Acc (G);IMU Z Acc (G);IMU X Gyr (dps);IMU Y Gyr (dps);IMU Z Gyr (dps);IMU X Mag (gauss);IMU Y Mag (gauss);IMU Z Mag (gauss);Temperature (C);Batt Voltage (V);RSSI (-dB)
05.03.2026 17:28:49.063331;1772728129.0633307;1.0945742;0.0345260;-0.0091500;-0.9797820;-0.6300000;-0.7175000;0.1750000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.072386;1772728129.0723863;1.1036304;0.0345260;-0.0084180;-0.9799040;-0.5425000;-0.7000000;0.1575000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.081442;1772728129.0814421;1.1126866;0.0352580;-0.0074420;-0.9791720;-0.5425000;-0.6475000;0.1575000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.090498;1772728129.0904980;1.1217428;0.0342820;-0.0081740;-0.9790500;-0.6125000;-0.6475000;0.2100000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.099554;1772728129.0995536;1.1307990;0.0348920;-0.0076860;-0.9786840;-0.5950000;-0.6125000;0.1400000;0.0438404;-0.1964051;-0.1056554;9.3398438;4.0000000;57
05.03.2026 17:28:49.108607;1772728129.1086073;1.1398532;0.0345260;-0.0087840;-0.9791720;-0.6125000;-0.7350000;0.1750000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.117661;1772728129.1176610;1.1489074;0.0356240;-0.0075640;-0.9788060;-0.5250000;-0.6650000;0.1400000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.126715;1772728129.1267147;1.1579616;0.0342820;-0.0081740;-0.9785620;-0.5775000;-0.6475000;0.1225000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.135768;1772728129.1357684;1.1670158;0.0337940;-0.0081740;-0.9783180;-0.4725000;-0.5950000;0.1925000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.144822;1772728129.1448224;1.1760699;0.0334280;-0.0080520;-0.9783180;-0.5250000;-0.7000000;0.1575000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.153876;1772728129.1538761;1.1851241;0.0342820;-0.0076860;-0.9784400;-0.5600000;-0.6825000;0.1400000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.162930;1772728129.1629298;1.1941783;0.0355020;-0.0091500;-0.9791720;-0.5775000;-0.6825000;0.1225000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.171983;1772728129.1719835;1.2032325;0.0346480;-0.0084180;-0.9791720;-0.5775000;-0.6825000;0.1400000;0.0438404;-0.1907058;-0.0938185;9.3398438;4.0000000;59
05.03.2026 17:28:49.181037;1772728129.1810372;1.2122867;0.0334280;-0.0079300;-0.9783180;-0.5600000;-0.7350000;0.1400000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.190091;1772728129.1900909;1.2213409;0.0344040;-0.0070760;-0.9779520;-0.5950000;-0.7350000;0.2100000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.199145;1772728129.1991446;1.2303951;0.0340380;-0.0080520;-0.9799040;-0.5600000;-0.6650000;0.1750000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.208199;1772728129.2081985;1.2394493;0.0341600;-0.0086620;-0.9774640;-0.5950000;-0.7175000;0.0875000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.217252;1772728129.2172523;1.2485034;0.0346480;-0.0080520;-0.9800260;-0.5775000;-0.5775000;0.1925000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.226306;1772728129.2263060;1.2575576;0.0341600;-0.0078080;-0.9796600;-0.5250000;-0.6650000;0.2100000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.235360;1772728129.2353597;1.2666118;0.0336720;-0.0070760;-0.9791720;-0.5250000;-0.6475000;0.2100000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.244413;1772728129.2444134;1.2756660;0.0340380;-0.0081740;-0.9779520;-0.5425000;-0.5775000;0.1225000;0.0578694;-0.1955283;-0.0982025;9.3398438;4.0000000;59
05.03.2026 17:28:49.253469;1772728129.2534690;1.2847220;0.0344040;-0.0085400;-0.9792940;-0.5600000;-0.6125000;0.1575000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.262524;1772728129.2625244;1.2937780;0.0336720;-0.0086620;-0.9784400;-0.5775000;-0.6300000;0.1750000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.271580;1772728129.2715800;1.3028340;0.0346480;-0.0078080;-0.9792940;-0.5950000;-0.6125000;0.1400000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.280636;1772728129.2806356;1.3118900;0.0347700;-0.0078080;-0.9788060;-0.5600000;-0.7350000;0.1575000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.289691;1772728129.2896910;1.3209460;0.0345260;-0.0069540;-0.9777080;-0.5600000;-0.7525000;0.1750000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.298747;1772728129.2987466;1.3300020;0.0347700;-0.0081740;-0.9792940;-0.5600000;-0.7175000;0.1925000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
05.03.2026 17:28:49.307802;1772728129.3078022;1.3390580;0.0339160;-0.0079300;-0.9789280;-0.5425000;-0.6300000;0.1750000;0.0543621;-0.1990355;-0.1074090;9.3398438;4.0000000;62
